项目名称,wischosgift,,,,,,,,,,,,,
日期范围,04/24/2026 11:59 - 04/25/2026 23:59,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
会话总数,17,,,,,,,,,,,,,
,,,,,,,,,,,,,,
日期,时间,会话持续时间,入口 URL,出口 URL,引用者:,Clarity 用户 ID,浏览器,设备,操作系统,国家/地区,页数,会话点击次数,收藏,录制链接
04/25/2026,6:07,0:10,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOPT2lTWG43xWDzy02Am7DqP&gclid=CjwKCAjwqazPBhALEiwAOuXqdG79dU-JbCgixkfEZ3nP0t-EkDEqpkNGBRIyR13oZgY96wIpLcumXRoCKVQQAvD_BwE,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOPT2lTWG43xWDzy02Am7DqP&gclid=CjwKCAjwqazPBhALEiwAOuXqdG79dU-JbCgixkfEZ3nP0t-EkDEqpkNGBRIyR13oZgY96wIpLcumXRoCKVQQAvD_BwE,,1tsyhq0,MobileSafari,Mobile,iOS,United Kingdom,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/1tsyhq0/1weo67/?ss=1777068445000&sd=10
04/25/2026,5:59,0:10,https://wischosgift.com/gift-sets?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOPT2lTWG43xWDzy02Am7DqP&gclid=CjwKCAjwqazPBhALEiwAOuXqdHBeQ0saloW8sDerBYQenfynADcT8dXInrm8QMpXh1b2u2Q5SlHMrhoCG2AQAvD_BwE,https://wischosgift.com/gift-sets?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOPT2lTWG43xWDzy02Am7DqP&gclid=CjwKCAjwqazPBhALEiwAOuXqdHBeQ0saloW8sDerBYQenfynADcT8dXInrm8QMpXh1b2u2Q5SlHMrhoCG2AQAvD_BwE,https://www.google.com/,pv25vy,MobileSafari,Mobile,iOS,United Kingdom,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/pv25vy/163lsjl/?ss=1777067984000&sd=10
04/25/2026,5:59,0:08,https://wischosgift.com/gift-sets/wgs-004-3-the-field-edc,https://wischosgift.com/gift-sets/wgs-004-3-the-field-edc,https://www.google.com/,faw2nn,MobileSafari,Mobile,iOS,United Kingdom,1,1,假,https://clarity.microsoft.com/player/w6z70dz6w4/faw2nn/p6h1w8/?ss=1777067975000&sd=8
04/25/2026,5:58,0:48,https://wischosgift.com/gift-sets?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOPT2lTWG43xWDzy02Am7DqP&gclid=CjwKCAjwqazPBhALEiwAOuXqdHBeQ0saloW8sDerBYQenfynADcT8dXInrm8QMpXh1b2u2Q5SlHMrhoCG2AQAvD_BwE,https://wischosgift.com/gift-sets?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOPT2lTWG43xWDzy02Am7DqP&gclid=CjwKCAjwqazPBhALEiwAOuXqdHBeQ0saloW8sDerBYQenfynADcT8dXInrm8QMpXh1b2u2Q5SlHMrhoCG2AQAvD_BwE,https://www.google.com/,ngz4ia,MobileSafari,Mobile,iOS,United Kingdom,1,1,假,https://clarity.microsoft.com/player/w6z70dz6w4/ngz4ia/7nj9h0/?ss=1777067927000&sd=48
04/25/2026,5:01,0:08,https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwqazPBhALEiwAOuXqdHIStYVvhTAI8IjCCvJ3_rEiuHCjMjBrAx-exte31DYJTDW1w9flJBoC6eUQAvD_BwE,https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwqazPBhALEiwAOuXqdHIStYVvhTAI8IjCCvJ3_rEiuHCjMjBrAx-exte31DYJTDW1w9flJBoC6eUQAvD_BwE,https://www.google.com/,pge1gp,GoogleApp,Mobile,iOS,Canada,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/pge1gp/1hb9r3j/?ss=1777064465000&sd=8
04/25/2026,0:27,0:07,https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwqazPBhALEiwAOuXqdPW8S_qtVmxHHzlUne_VlZ3bkMkVIu8yMA19SqlFzR2suluja95ryxoCgDIQAvD_BwE,https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwqazPBhALEiwAOuXqdPW8S_qtVmxHHzlUne_VlZ3bkMkVIu8yMA19SqlFzR2suluja95ryxoCgDIQAvD_BwE,https://www.google.com/,8mgyli,SamsungInternet,Mobile,Android,United Arab Emirates,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/8mgyli/b0jte8/?ss=1777048064000&sd=7
04/24/2026,19:36,0:04,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwqazPBhALEiwAOuXqdLiBN5OSzAO3vpqesjgmbBd1ENJ8ILOF_QsCG05oj6aFTuy34gJamxoCNw4QAvD_BwE,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwqazPBhALEiwAOuXqdLiBN5OSzAO3vpqesjgmbBd1ENJ8ILOF_QsCG05oj6aFTuy34gJamxoCNw4QAvD_BwE,https://www.google.com/,jjvl3,ChromeMobile,Mobile,Android,Canada,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/jjvl3/mv5n53/?ss=1777030607000&sd=4
04/24/2026,18:00,0:01,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOhkEZT6F9sJHpNmmZ4z3n2L&gclid=CjwKCAjwqazPBhALEiwAOuXqdEHf6ZIUjIcsRf2d_SL9WWMqaSuGaf2PKP2w0NLPhAJj2PXACLTKrhoCzYAQAvD_BwE,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOhkEZT6F9sJHpNmmZ4z3n2L&gclid=CjwKCAjwqazPBhALEiwAOuXqdEHf6ZIUjIcsRf2d_SL9WWMqaSuGaf2PKP2w0NLPhAJj2PXACLTKrhoCzYAQAvD_BwE,https://www.google.com/,1gwjbyv,Chrome,PC,MacOS,United Kingdom,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/1gwjbyv/ckgh0n/?ss=1777024857000&sd=1
04/24/2026,14:39,0:05,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOPT2lTWG43xWDzy02Am7DqP&gclid=EAIaIQobChMIxZL1pPCFlAMVvJZQBh0b7ivPEAAYAyAAEgJyqfD_BwE,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOPT2lTWG43xWDzy02Am7DqP&gclid=EAIaIQobChMIxZL1pPCFlAMVvJZQBh0b7ivPEAAYAyAAEgJyqfD_BwE,https://www.google.com/,1je5ipf,MobileSafari,Mobile,iOS,United Arab Emirates,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/1je5ipf/bw7b1o/?ss=1777012768000&sd=5
04/24/2026,13:53,0:07,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOPT2lTWG43xWDzy02Am7DqP&gclid=EAIaIQobChMIg9zr_uWFlAMVL5lQBh3V-C40EAAYBCAAEgLT1vD_BwE,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOPT2lTWG43xWDzy02Am7DqP&gclid=EAIaIQobChMIg9zr_uWFlAMVL5lQBh3V-C40EAAYBCAAEgLT1vD_BwE,https://www.google.com/,1nmkb42,MobileSafari,Mobile,iOS,United Kingdom,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/1nmkb42/m7yiwn/?ss=1777009991000&sd=7
