项目名称,wischosgift,,,,,,,,,,,,,
日期范围,04/22/2026 00:00 - 04/23/2026 23:59,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
会话总数,17,,,,,,,,,,,,,
,,,,,,,,,,,,,,
日期,时间,会话持续时间,入口 URL,出口 URL,引用者:,Clarity 用户 ID,浏览器,设备,操作系统,国家/地区,页数,会话点击次数,收藏,录制链接
04/22/2026,20:39,0:05,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjMKyMi1phFstctDN0cmxY6Yw&gclid=EAIaIQobChMItO2E-7yBlAMV2-oWBR1nVDgbEAMYASAAEgLSBPD_BwE,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjMKyMi1phFstctDN0cmxY6Yw&gclid=EAIaIQobChMItO2E-7yBlAMV2-oWBR1nVDgbEAMYASAAEgLSBPD_BwE,https://www.google.com/,vwozu4,MobileSafari,Mobile,iOS,Australia,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/vwozu4/1dhhrs8/?ss=1776861580000&sd=5
04/22/2026,20:03,0:30,https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjObk8TxfyRZDD8kFRcNnmuF2&gclid=CjwKCAjwwJzPBhBREiwAJfHRnVGBtT0JkfCitWYe5CAetA-DS01hj3ZYgSReuv73TK9XObuT6a3MtRoCDUkQAvD_BwE,https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjObk8TxfyRZDD8kFRcNnmuF2&gclid=CjwKCAjwwJzPBhBREiwAJfHRnVGBtT0JkfCitWYe5CAetA-DS01hj3ZYgSReuv73TK9XObuT6a3MtRoCDUkQAvD_BwE,https://www.google.com/,1kf8bi1,MobileSafari,Mobile,iOS,Australia,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/1kf8bi1/1rtwwrz/?ss=1776859393000&sd=30
04/22/2026,16:29,0:07,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gclid=EAIaIQobChMIzN_Rh4WBlAMVz5lmAh3pzhocEAMYAiAAEgLNVPD_BwE,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gclid=EAIaIQobChMIzN_Rh4WBlAMVz5lmAh3pzhocEAMYAiAAEgLNVPD_BwE,https://www.google.com/,a1fe0k,GoogleApp,Mobile,iOS,Australia,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/a1fe0k/12u0zdv/?ss=1776846553000&sd=7
04/22/2026,14:56,0:05,https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjObk8TxfyRZDD8kFRcNnmuF2&gclid=CjwKCAjwwJzPBhBREiwAJfHRnc-AhDvnWdedDMOfi8Hf1MI_4CDerhV7jNhiA7A3I7MlIcua0JZvChoCeIIQAvD_BwE,https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjObk8TxfyRZDD8kFRcNnmuF2&gclid=CjwKCAjwwJzPBhBREiwAJfHRnc-AhDvnWdedDMOfi8Hf1MI_4CDerhV7jNhiA7A3I7MlIcua0JZvChoCeIIQAvD_BwE,https://www.google.com/,l57bev,MobileSafari,Mobile,iOS,Canada,3,1,假,https://clarity.microsoft.com/player/w6z70dz6w4/l57bev/55nxxm/?ss=1776841014000&sd=5
04/22/2026,14:04,0:06,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjObk8TxfyRZDD8kFRcNnmuF2&gclid=CjwKCAjwwJzPBhBREiwAJfHRnbN6M8rtI_F5VHas2Y4pyCfOQ6BpXt7UIaeX0-OV-M6Lvh6KMt7yMxoCc4AQAvD_BwE,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjObk8TxfyRZDD8kFRcNnmuF2&gclid=CjwKCAjwwJzPBhBREiwAJfHRnbN6M8rtI_F5VHas2Y4pyCfOQ6BpXt7UIaeX0-OV-M6Lvh6KMt7yMxoCc4AQAvD_BwE,https://www.google.com/,bpwp1f,MobileSafari,Mobile,iOS,Canada,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/bpwp1f/1epnfq8/?ss=1776837886000&sd=6
04/22/2026,13:39,0:03,https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjN7lPm-6uBfJODS-b_eHIDXX&gclid=EAIaIQobChMI1KnQkd-AlAMVPItmAh12SwVCEAMYASAAEgJQDfD_BwE,https://wischosgift.com/?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjN7lPm-6uBfJODS-b_eHIDXX&gclid=EAIaIQobChMI1KnQkd-AlAMVPItmAh12SwVCEAMYASAAEgJQDfD_BwE,https://www.google.com/,7iu56a,Chrome,PC,Windows,Australia,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/7iu56a/13fqv3i/?ss=1776836368000&sd=3
04/22/2026,11:10,0:41,https://wischosgift.com/,https://wischosgift.com/,,129m4b0,Chrome,PC,ChromeOS,India,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/129m4b0/1i2xy9d/?ss=1776827426000&sd=41
04/22/2026,10:55,1:01,https://wischosgift.com/,https://wischosgift.com/products,,g2ii7f,Chrome,PC,ChromeOS,United States,2,8,假,https://clarity.microsoft.com/player/w6z70dz6w4/g2ii7f/19q7ziz/?ss=1776826555000&sd=61
04/22/2026,10:44,0:20,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOMrEvTxrT584YtpFlUe15pJ&gclid=CjwKCAjwwJzPBhBREiwAJfHRnf-HAnuf3dKyi_aBa9HQyP_Bi3vop5prl4Y8rr7W7b5II2WMk4Es4BoC4SgQAvD_BwE,https://wischosgift.com/landing/executive-gift-set?gad_source=1&gad_campaignid=23763316514&gbraid=0AAAABDaYfjOMrEvTxrT584YtpFlUe15pJ&gclid=CjwKCAjwwJzPBhBREiwAJfHRnf-HAnuf3dKyi_aBa9HQyP_Bi3vop5prl4Y8rr7W7b5II2WMk4Es4BoC4SgQAvD_BwE,https://www.google.com/,riivdf,ChromeMobile,Mobile,Android,Canada,1,1,假,https://clarity.microsoft.com/player/w6z70dz6w4/riivdf/14zi02h/?ss=1776825840000&sd=20
04/22/2026,10:19,3:48,https://wischosgift.com/products?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwwJzPBhBREiwAJfHRndAEFSrtmFRhYVXDVAuaENQw2bJc1dvptqg2jUiGKBGjAIEd499QdxoCNGAQAvD_BwE,https://wischosgift.com/products?gad_source=1&gad_campaignid=23763316514&gclid=CjwKCAjwwJzPBhBREiwAJfHRndAEFSrtmFRhYVXDVAuaENQw2bJc1dvptqg2jUiGKBGjAIEd499QdxoCNGAQAvD_BwE,https://www.google.com/,cevekp,GoogleApp,Mobile,iOS,Canada,1,0,假,https://clarity.microsoft.com/player/w6z70dz6w4/cevekp/4fqie8/?ss=1776824384000&sd=228
